language,tool,status,difficulty,easy_win_rank,target_capability,requirements,depends_on,parity_level_or_scope,graph_parity_level,recommended_order,recommended_next_language_order,why_it_is_hard
kotlin,crawl_project,C,medium,9,convert claimed/coarse support into runtime-backed support,"Align feature metadata with actual runtime behavior, implement missing execution path(s), add fixture coverage, and define explicit unsupported cases.",discovery helpers plus per-language file summarizers,coarse or metadata-only support,not a graph-runtime tool,,JS/TS -> Java -> Go/Kotlin,discovery is easy; meaningful semantic crawl quality is not
kotlin,get_file_context,U,medium,6,high-quality file summaries,Add package/class/object/function summaries and import handling with fixture coverage.,language-specific structure extraction,file overview parity,not a graph-runtime tool,11,JS/TS -> Java -> Go/Rust/PHP/Ruby,Kotlin files often mix multiple symbol kinds that need grouping
kotlin,get_symbol_references,U,medium,2,reference parity,Add package/import-aware symbol identity and categorized reference tests.,Kotlin graph/runtime parity,graph runtime unsupported,Level 0: unsupported,5,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust -> C# -> C/C++,package and member scopes need consistent symbol IDs
kotlin,get_call_graph,U,medium,5,advanced call-graph parity,"Promote Kotlin to method-aware local parity, then implement import-aware cross-file resolution, alias handling, path/focus behavior, and parity reporting.",local parity promotion plus Kotlin package/import model,graph runtime unsupported,Level 0: unsupported,5,"stabilize Java first, then Go/Kotlin/PHP/Ruby/Swift/Rust, then C#/C/C++",Kotlin is promising but mixed JVM patterns still need conservative handling
kotlin,get_graph_neighborhood,U,medium,1,neighborhood parity,Add Kotlin canonical node IDs and neighborhood extraction after call-graph parity is stable.,Kotlin get_call_graph parity,graph runtime unsupported,Level 0: unsupported,5,"Java after get_call_graph, then Go/Kotlin/PHP/Ruby/Swift/Rust",adjacent graph tools should reuse stable node IDs
kotlin,get_cross_file_dependencies,U,high,4,dependency-chain parity,Add Kotlin chain assembly after graph parity lands; include alias/import fixtures and metadata tests.,Kotlin get_call_graph parity,graph runtime unsupported,Level 0: unsupported,5,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust,chain quality follows graph/runtime quality
kotlin,get_project_map,U,medium_high,3,module and relationship parity,Add Kotlin module discovery and graph-derived relationships after graph parity lands.,Kotlin graph/runtime parity,graph runtime unsupported,Level 0: unsupported,5,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust,summary quality depends on relationship derivation
kotlin,type_evaporation_scan,U,medium_high,12,add new language support,"Define explicit support scope, add parser/runtime integration, add deterministic and parser-backed tests, and document unsupported cases conservatively.",TypeScript boundary extraction plus Python backend correlation plus schema generation,unsupported,not a graph-runtime tool,,none,the tool is intentionally narrow: TS/JS frontend to Python backend contract analysis
kotlin,scan_dependencies,A,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,manifest parser coverage by ecosystem,language-agnostic,not a graph-runtime tool,,none,source language matters less than package-manager support
kotlin,validate_paths,A,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,none,language-agnostic,not a graph-runtime tool,,none,language-agnostic path validation
kotlin,verify_policy_integrity,A,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,none,language-agnostic,not a graph-runtime tool,,none,language-agnostic cryptographic verification
kotlin,code_policy_check,A,medium,11,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,policy rule libraries and language-specific rule packs where deeper parity is desired,language-agnostic,not a graph-runtime tool,,JS/TS -> Java -> Python rule enrichment,"the engine is generic, but meaningful parity depends on per-language rules"
