language,tool,status,difficulty,easy_win_rank,target_capability,requirements,depends_on,parity_level_or_scope,graph_parity_level,recommended_order,recommended_next_language_order,why_it_is_hard
rust,crawl_project,C,medium,9,convert claimed/coarse support into runtime-backed support,"Align feature metadata with actual runtime behavior, implement missing execution path(s), add fixture coverage, and define explicit unsupported cases.",discovery helpers plus per-language file summarizers,coarse or metadata-only support,not a graph-runtime tool,,JS/TS -> Java -> Go/Kotlin,discovery is easy; meaningful semantic crawl quality is not
rust,get_file_context,P,medium,6,high-quality file summaries,Add module/function/impl summaries and use-tree handling with fixture tests.,language-specific structure extraction,file overview parity,not a graph-runtime tool,7,JS/TS -> Java -> Go/Rust/PHP/Ruby,Rust structure extraction needs to respect modules and impl blocks
rust,get_symbol_references,U,medium,2,reference parity,Add module/use/trait-aware symbol IDs and categorized reference tests.,Rust graph/runtime parity,graph runtime unsupported,Level 0: unsupported,9,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust -> C# -> C/C++,traits and modules affect what counts as the same symbol
rust,get_call_graph,U,medium,5,advanced call-graph parity,"Promote Rust local parity, add module/use normalization, trait/impl-safe local and cross-file resolution, confidence metadata, and macro exclusions.",local parity promotion plus Rust path model,graph runtime unsupported,Level 0: unsupported,9,"stabilize Java first, then Go/Kotlin/PHP/Ruby/Swift/Rust, then C#/C/C++",traits and macros need conservative treatment
rust,get_graph_neighborhood,U,medium,1,neighborhood parity,Add Rust canonical node IDs and neighborhood extraction after call-graph parity lands; preserve macro exclusions.,Rust get_call_graph parity,graph runtime unsupported,Level 0: unsupported,9,"Java after get_call_graph, then Go/Kotlin/PHP/Ruby/Swift/Rust",macro and trait boundaries affect neighborhood correctness
rust,get_cross_file_dependencies,U,high,4,dependency-chain parity,Add Rust chain assembly after graph parity lands with module/use/trait-safe rules and macro exclusions.,Rust get_call_graph parity,graph runtime unsupported,Level 0: unsupported,9,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust,trait and macro handling affects chain determinism
rust,get_project_map,U,medium_high,3,module and relationship parity,Add Rust module/use discovery and graph-derived relationships after graph parity lands.,Rust graph/runtime parity,graph runtime unsupported,Level 0: unsupported,9,Java -> Go/Kotlin -> PHP/Ruby -> Swift/Rust,module and trait relationships need stable node IDs first
rust,type_evaporation_scan,U,medium_high,12,add new language support,"Define explicit support scope, add parser/runtime integration, add deterministic and parser-backed tests, and document unsupported cases conservatively.",TypeScript boundary extraction plus Python backend correlation plus schema generation,unsupported,not a graph-runtime tool,,none,the tool is intentionally narrow: TS/JS frontend to Python backend contract analysis
rust,scan_dependencies,A,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,manifest parser coverage by ecosystem,language-agnostic,not a graph-runtime tool,,none,source language matters less than package-manager support
rust,validate_paths,A,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,none,language-agnostic,not a graph-runtime tool,,none,language-agnostic path validation
rust,verify_policy_integrity,A,low,not_needed,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,none,language-agnostic,not a graph-runtime tool,,none,language-agnostic cryptographic verification
rust,code_policy_check,A,medium,11,maintain current support,No adoption work required beyond regression coverage and documentation accuracy.,policy rule libraries and language-specific rule packs where deeper parity is desired,language-agnostic,not a graph-runtime tool,,JS/TS -> Java -> Python rule enrichment,"the engine is generic, but meaningful parity depends on per-language rules"
