tool,language,current_status,target_capability,requirements,depends_on,parity_level_or_scope,recommended_order,difficulty,why_it_is_hard
symbolic_execute,java,U,"language frontend plus path exploration parity","Add Java IR-to-symbolic lowering, object and method-call semantics, loop limits, and solver-friendly constraint extraction.","new symbolic execution frontend","symbolic execution parity",3,very_high,"object-oriented symbolic execution is a separate engine track"
symbolic_execute,c,U,"language frontend plus path exploration parity","Add C control-flow lowering, pointer/memory model policy, arithmetic semantics, and conservative unsupported-case handling.","new symbolic execution frontend plus memory model","symbolic execution parity",4,very_high,"memory and pointer semantics make C symbolic execution non-trivial"
symbolic_execute,cpp,U,"language frontend plus path exploration parity","Add C++ lowering with conservative class/template policy, object semantics, and memory model boundaries.","C symbolic frontend plus C++ object model","symbolic execution parity",5,very_high,"templates and object semantics expand the state space quickly"
symbolic_execute,csharp,U,"language frontend plus path exploration parity","Add C# lowering, object and async semantics, and solver-friendly constraints with explicit unsupported dynamic cases.","new symbolic execution frontend","symbolic execution parity",6,very_high,"async and object semantics complicate exploration"
symbolic_execute,go,U,"language frontend plus path exploration parity","Add Go lowering, function/method semantics, loop/fuel policy, and conservative interface-call handling.","new symbolic execution frontend","symbolic execution parity",7,very_high,"interfaces and concurrency semantics need careful scoping"
symbolic_execute,kotlin,U,"language frontend plus path exploration parity","Add Kotlin lowering for functions, methods, nullability, and coroutine exclusions or semantics; define a minimal safe subset first.","new symbolic execution frontend","symbolic execution parity",8,very_high,"nullability plus coroutine features expand the design space"
symbolic_execute,php,U,"language frontend plus path exploration parity","Add PHP lowering for functions, methods, arrays, and dynamic features with a strict unsupported subset.","new symbolic execution frontend","symbolic execution parity",9,very_high,"dynamic runtime behavior must be kept out of the trusted subset"
symbolic_execute,ruby,U,"language frontend plus path exploration parity","Add Ruby lowering with a narrow safe subset; exclude metaprogramming and dynamic dispatch until proven tractable.","new symbolic execution frontend","symbolic execution parity",10,very_high,"Ruby dynamism makes bounded symbolic execution especially hard"
symbolic_execute,swift,U,"language frontend plus path exploration parity","Add Swift lowering for functions, methods, optionals, and a minimal safe subset before protocol-heavy features.","new symbolic execution frontend","symbolic execution parity",11,very_high,"optionals, protocols, and value/reference semantics complicate modeling"
symbolic_execute,rust,U,"language frontend plus path exploration parity","Add Rust lowering with ownership-aware semantics, pattern matching, and explicit macro exclusions.","new symbolic execution frontend","symbolic execution parity",12,very_high,"ownership and borrowing need dedicated semantics"
generate_unit_tests,javascript,C,"runtime test generation parity","Wire non-Python code parsing into the generation pipeline; emit Jest tests from language-specific execution paths; add fixtures and framework golden tests.","JS symbolic frontend plus Jest emitter","test generation parity",1,very_high,"framework capability exists in metadata, but runtime generation is not wired"
generate_unit_tests,typescript,C,"runtime test generation parity","Wire TS analysis into the pipeline; emit Jest tests with TS-friendly assertions and module handling; add fixture coverage.","TS symbolic frontend plus Jest emitter","test generation parity",2,very_high,"claimed framework support is not the same as path generation support"
generate_unit_tests,c,C,"runtime test generation parity","Add C path extraction, assertion rendering, and Catch2-oriented output; define supported subset and fixtures.","C symbolic frontend plus Catch2 emitter","test generation parity",3,very_high,"metadata claims framework support, but no runtime path engine exists"
generate_unit_tests,cpp,C,"runtime test generation parity","Add C++ path extraction and assertion rendering plus Catch2/GoogleTest emitters; define conservative OO/template subset.","C++ symbolic frontend plus Catch2/GoogleTest emitters","test generation parity",4,very_high,"OO and template behavior must be narrowed before emitting tests safely"
generate_unit_tests,csharp,C,"runtime test generation parity","Add C# path extraction plus NUnit/xUnit emitters; define supported OO/async subset and regression fixtures.","C# symbolic frontend plus NUnit/xUnit emitters","test generation parity",5,very_high,"framework names are declared, but no C# runtime generator exists"
generate_unit_tests,java,U,"runtime test generation parity","Add Java path extraction plus JUnit-style emitters, fixture corpus, and object-aware expectation generation.","Java symbolic frontend plus test emitter","test generation parity",6,very_high,"Java needs both path generation and emitter work"
generate_unit_tests,go,U,"runtime test generation parity","Add Go path extraction plus standard Go test emitter and assertion conventions.","Go symbolic frontend plus test emitter","test generation parity",7,very_high,"the whole stack is missing, not just the emitter"
generate_unit_tests,kotlin,U,"runtime test generation parity","Add Kotlin path extraction plus JUnit/Kotest-style emitter and JVM fixture coverage.","Kotlin symbolic frontend plus test emitter","test generation parity",8,very_high,"Kotlin requires both language and framework wiring"
generate_unit_tests,php,U,"runtime test generation parity","Add PHP path extraction plus PHPUnit emitter and safe subset fixtures.","PHP symbolic frontend plus test emitter","test generation parity",9,very_high,"dynamic runtime semantics make automated expectations harder"
generate_unit_tests,ruby,U,"runtime test generation parity","Add Ruby path extraction plus RSpec/Minitest emitter and conservative safe subset.","Ruby symbolic frontend plus test emitter","test generation parity",10,very_high,"Ruby dynamism complicates stable auto-generated expectations"
generate_unit_tests,swift,U,"runtime test generation parity","Add Swift path extraction plus XCTest emitter and optionals-aware assertions.","Swift symbolic frontend plus test emitter","test generation parity",11,very_high,"Swift needs both frontend and assertion strategy work"
generate_unit_tests,rust,U,"runtime test generation parity","Add Rust path extraction plus cargo test emitter and ownership-aware assertion generation.","Rust symbolic frontend plus test emitter","test generation parity",12,very_high,"ownership semantics affect how generated tests must be structured"
simulate_refactor,javascript,P,"language-aware safety parity","Add JS AST diff fidelity, same-file behavior heuristics, and stronger semantic validation; add regression tests for imports and common refactors.","language-aware diff and validation","refactor simulation parity",1,very_high,"generic diff is not enough for trustworthy behavior claims"
simulate_refactor,typescript,P,"language-aware safety parity","Extend JS simulation with TS-aware type-error detection, import/alias handling, and stronger semantic validation.","JS refactor parity plus TS type checks","refactor simulation parity",2,very_high,"type-aware validation is required to make TS results credible"
simulate_refactor,java,P,"language-aware safety parity","Add Java-aware AST diffing, typed method/class validation, and conservative OO behavior checks; add fixture coverage.","language-aware diff and validation","refactor simulation parity",3,very_high,"OO structure and typing drive many real regressions"
simulate_refactor,c,P,"language-aware safety parity","Add C-aware structural diffing, function/global analysis, and conservative pointer-related warnings; add parser-backed fixtures.","language-aware diff and validation","refactor simulation parity",4,very_high,"C changes can alter behavior through globals and pointer use"
simulate_refactor,cpp,P,"language-aware safety parity","Add C++ structural diffing, method/class awareness, and conservative template/overload handling.","C++ parser and validation logic","refactor simulation parity",5,very_high,"templates and overloads make structural equivalence harder to prove"
simulate_refactor,csharp,P,"language-aware safety parity","Add C# structural diffing, class/method/type validation, and conservative async behavior checks.","C# parser and validation logic","refactor simulation parity",6,very_high,"typed OO refactors need more than textual similarity"
simulate_refactor,go,U,"language-aware safety parity","Add Go AST diffing, import and receiver-method awareness, and typed validation before claiming safe refactor support.","Go parser and validation logic","refactor simulation parity",7,very_high,"without Go-specific structure, safety results would be superficial"
simulate_refactor,kotlin,U,"language-aware safety parity","Add Kotlin AST diffing, nullability/type checks, and object/companion awareness.","Kotlin parser and validation logic","refactor simulation parity",8,very_high,"nullability and companion/object semantics affect behavior"
simulate_refactor,php,U,"language-aware safety parity","Add PHP AST diffing, namespace and dynamic-feature policy, and fixture coverage for safe subset refactors.","PHP parser and validation logic","refactor simulation parity",9,very_high,"dynamic features require a strict fail-closed policy"
simulate_refactor,ruby,U,"language-aware safety parity","Add Ruby AST diffing for a narrow safe subset and exclude metaprogrammed behavior from safety claims.","Ruby parser and validation logic","refactor simulation parity",10,very_high,"metaprogramming makes static behavior-preservation claims risky"
simulate_refactor,swift,U,"language-aware safety parity","Add Swift AST diffing, protocol/extension awareness, and typed validation for safe subset refactors.","Swift parser and validation logic","refactor simulation parity",11,very_high,"protocols and extensions complicate impact analysis"
simulate_refactor,rust,U,"language-aware safety parity","Add Rust AST diffing, module/trait awareness, and ownership-related validation heuristics.","Rust parser and validation logic","refactor simulation parity",12,very_high,"ownership and trait behavior alter how code changes should be judged"
get_file_context,javascript,P,"high-quality file summaries","Promote from extension-aware support to JS-aware structure summaries, imports/exports, and meaningful complexity/doc heuristics; add fixtures.","language-specific structure extraction","file overview parity",1,medium,"basic file detection is easier than high-quality summaries"
get_file_context,typescript,P,"high-quality file summaries","Add TS-aware summaries with type/export awareness, better symbol grouping, and stable overview fixtures.","JS file-context parity plus TS structure rules","file overview parity",2,medium,"type-only forms and TS syntax need dedicated summarization"
get_file_context,java,P,"high-quality file summaries","Add Java-aware class/method/import summaries, package handling, and complexity fixtures.","language-specific structure extraction","file overview parity",3,medium,"useful overviews need Java-specific shape extraction"
get_file_context,go,P,"high-quality file summaries","Add Go package/function/method summaries and import grouping with fixture coverage.","language-specific structure extraction","file overview parity",4,medium,"Go needs package-aware summaries to be useful"
get_file_context,php,P,"high-quality file summaries","Add namespace/class/function summaries and import/use handling; add fixture tests.","language-specific structure extraction","file overview parity",5,medium,"namespace-aware summaries matter more than raw file metadata"
get_file_context,ruby,P,"high-quality file summaries","Add module/class/method summaries and require/include awareness with fixture coverage.","language-specific structure extraction","file overview parity",6,medium,"Ruby files need semantic grouping, not just plain text inspection"
get_file_context,rust,P,"high-quality file summaries","Add module/function/impl summaries and use-tree handling with fixture tests.","language-specific structure extraction","file overview parity",7,medium,"Rust structure extraction needs to respect modules and impl blocks"
get_file_context,c,U,"high-quality file summaries","Add C function/struct/include summaries, preprocessor-aware fallbacks, and conservative complexity heuristics.","language-specific structure extraction","file overview parity",8,medium,"preprocessor noise makes useful summarization harder"
get_file_context,cpp,U,"high-quality file summaries","Add C++ namespace/class/method summaries plus conservative template handling.","language-specific structure extraction","file overview parity",9,medium,"templates and nested types complicate concise summaries"
get_file_context,csharp,U,"high-quality file summaries","Add namespace/class/method summaries and using handling with fixture coverage.","language-specific structure extraction","file overview parity",10,medium,"C# overviews need namespace/type extraction to be useful"
get_file_context,kotlin,U,"high-quality file summaries","Add package/class/object/function summaries and import handling with fixture coverage.","language-specific structure extraction","file overview parity",11,medium,"Kotlin files often mix multiple symbol kinds that need grouping"
get_file_context,swift,U,"high-quality file summaries","Add module/type/function summaries with extension/protocol awareness.","language-specific structure extraction","file overview parity",12,medium,"extensions and protocols alter how symbols should be summarized"
get_symbol_references,javascript,P,"reference parity","Keep the local JS slice and add stronger categorization, import-edge resolution, canonical node stability, and tier/truncation tests.","graph runtime plus symbol indexing","graph/runtime parity",1,medium,"reference quality depends on symbol identity and import handling"
get_symbol_references,typescript,P,"reference parity","Extend JS parity with TS path aliases, type-only imports, and stable reference categorization.","JS reference parity plus TS import model","graph/runtime parity",2,medium,"type-only constructs and aliases add ambiguity"
get_symbol_references,java,U,"reference parity","Add Java graph foundations, canonical node IDs, definition/import/call/reference categorization, and unsupported-case tests.","Java graph foundations","graph/runtime parity",3,medium,"without call-graph foundations, Java references will remain shallow"
get_symbol_references,go,U,"reference parity","Add Go canonical symbols, package/import resolution, and categorized reference fixtures.","Go graph/runtime parity","graph/runtime parity",4,medium,"reference precision needs import-aware symbol identity"
get_symbol_references,kotlin,U,"reference parity","Add package/import-aware symbol identity and categorized reference tests.","Kotlin graph/runtime parity","graph/runtime parity",5,medium,"package and member scopes need consistent symbol IDs"
get_symbol_references,php,U,"reference parity","Add namespace/use-aware symbol identity, reference categorization, and dynamic-call exclusions.","PHP graph/runtime parity","graph/runtime parity",6,medium,"dynamic invocation must remain unsupported"
get_symbol_references,ruby,U,"reference parity","Add module/class symbol IDs and conservative reference categorization with metaprogramming exclusions.","Ruby graph/runtime parity","graph/runtime parity",7,medium,"Ruby reference analysis must stay conservative around dynamic behavior"
get_symbol_references,swift,U,"reference parity","Add module/type/member symbol IDs and categorized reference tests.","Swift graph/runtime parity","graph/runtime parity",8,medium,"protocol and extension references complicate stable categorization"
get_symbol_references,rust,U,"reference parity","Add module/use/trait-aware symbol IDs and categorized reference tests.","Rust graph/runtime parity","graph/runtime parity",9,medium,"traits and modules affect what counts as the same symbol"
get_call_graph,javascript,P,"advanced call-graph parity","Stabilize Level 1 through Level 3 parity: canonical node naming, same-file edges, import-aware cross-file resolution, inference_source taxonomy, confidence rules, unsupported-construct policy, and golden tests.","shared call-graph builder plus canonical node scheme","advanced parity",1,medium,"the easy part is local edges; the hard part is precise cross-file semantics"
get_call_graph,typescript,P,"advanced call-graph parity","Do the JavaScript work plus TS path aliases, type-only imports, and method parity coverage where advanced resolution is enabled.","JS call-graph parity plus TS import model","advanced parity",2,medium,"TypeScript adds extra import and type-system surface area"
get_call_graph,java,P,"stabilized Java slice","Complete the Java hardening checklist: canonical callable-node fixtures, type-import and static-import resolution, typed imported instance calls, superclass method dispatch, field-backed instance calls, ambiguous-name collision tests, Mermaid stability, path-query validation, and roadmap parity annotation.","Java file discovery and canonical node emission already landed","advanced parity",3,medium,"Java has an initial slice now, but imported-instance and inheritance-aware dispatch must be hardened before broader claims"
get_call_graph,go,U,"advanced call-graph parity","Audit IR output quality; ensure top-level functions, methods, and call expressions are usable; add local parity, import-aware cross-file resolution, alias handling, confidence metadata, path/focus tests, Mermaid stability, and roadmap parity level.","local parity promotion plus import-aware resolution","advanced parity",4,medium,"Go is a good next cohort because imports and package structure are tractable"
get_call_graph,kotlin,U,"advanced call-graph parity","Promote Kotlin to method-aware local parity, then implement import-aware cross-file resolution, alias handling, path/focus behavior, and parity reporting.","local parity promotion plus Kotlin package/import model","advanced parity",5,medium,"Kotlin is promising but mixed JVM patterns still need conservative handling"
get_call_graph,php,U,"advanced call-graph parity","Promote PHP local parity, add namespace/module normalization, import/use resolution, cross-file symbol-chain fixtures, confidence metadata, and unsupported dynamic-call policy.","local parity promotion plus PHP namespace model","advanced parity",6,medium,"namespace resolution is feasible, but dynamic invocation must fail closed"
get_call_graph,ruby,U,"advanced call-graph parity","Promote Ruby local parity, add module/class normalization, require/include awareness, conservative cross-file resolution, and dynamic exclusion tests.","local parity promotion plus Ruby module model","advanced parity",7,medium,"Ruby needs strict unsupported-case policy around metaprogramming"
get_call_graph,swift,U,"advanced call-graph parity","Promote Swift local parity, add module/type/member normalization, import-aware cross-file resolution, and extension/protocol-safe unsupported-case policy.","local parity promotion plus Swift symbol model","advanced parity",8,medium,"protocols and extensions complicate high-confidence dispatch"
get_call_graph,rust,U,"advanced call-graph parity","Promote Rust local parity, add module/use normalization, trait/impl-safe local and cross-file resolution, confidence metadata, and macro exclusions.","local parity promotion plus Rust path model","advanced parity",9,medium,"traits and macros need conservative treatment"
get_call_graph,csharp,U,"advanced call-graph parity","Implement namespace-aware symbol resolution, using-aware imports, local class methods, static methods, basic field-backed instance dispatch, inheritance fixtures, conservative interface-dispatch policy, and metadata/path tests.","canonical node scheme plus C# resolution helpers","advanced parity",10,medium,"namespace and OO dispatch semantics are needed before credible parity"
get_call_graph,c,U,"advanced call-graph parity","Define advanced parity scope for C, add same-file static/internal function distinction, header/source de-duplication, conservative function-pointer handling, multi-file include fixtures, and explicit unsupported-case docs.","canonical node scheme plus C-specific policy","advanced parity",11,medium,"C has fewer abstractions, but headers and function pointers create their own pitfalls"
get_call_graph,cpp,U,"advanced call-graph parity","Implement namespace, class, static, and basic member-call resolution; add conservative overload/template/virtual policies; add fixtures for namespaces, classes, overloads, templates, inheritance, and virtual methods.","canonical node scheme plus C++ resolution helpers","advanced parity",12,medium,"C++ can overclaim quickly without conservative overload and virtual-dispatch rules"
get_graph_neighborhood,javascript,P,"neighborhood parity","Reuse canonical JS node IDs, neighborhood extraction, confidence metadata, and Mermaid stability from get_call_graph; add unsupported-case tests.","get_call_graph canonical node parity","neighborhood parity",1,medium,"neighborhood quality inherits call-graph quality"
get_graph_neighborhood,typescript,P,"neighborhood parity","Extend JS neighborhood parity with TS method-node and alias-aware validation where advanced resolution exists.","get_call_graph TS parity","neighborhood parity",2,medium,"method-node parity depends on upstream TS node stability"
get_graph_neighborhood,java,U,"neighborhood parity","Enable Java node-ID acceptance only after Java canonical IDs and neighborhood extraction are stable; add path, metadata, and Mermaid tests.","stabilized Java get_call_graph slice","neighborhood parity",3,medium,"this tool should only expand after Java call-graph IDs are trustworthy"
get_graph_neighborhood,go,U,"neighborhood parity","Reuse Go canonical node IDs after get_call_graph parity reaches import-aware support; add predictable unsupported behavior until then.","Go get_call_graph parity","neighborhood parity",4,medium,"neighborhood expansion before graph parity would duplicate work"
get_graph_neighborhood,kotlin,U,"neighborhood parity","Add Kotlin canonical node IDs and neighborhood extraction after call-graph parity is stable.","Kotlin get_call_graph parity","neighborhood parity",5,medium,"adjacent graph tools should reuse stable node IDs"
get_graph_neighborhood,php,U,"neighborhood parity","Add PHP canonical node IDs and neighborhood extraction after call-graph parity lands; preserve conservative dynamic exclusions.","PHP get_call_graph parity","neighborhood parity",6,medium,"dynamic-call uncertainty propagates directly into neighborhoods"
get_graph_neighborhood,ruby,U,"neighborhood parity","Add Ruby canonical node IDs and neighborhood extraction after call-graph parity lands; exclude metaprogrammed edges.","Ruby get_call_graph parity","neighborhood parity",7,medium,"unsafe dynamic edges would pollute neighborhood output"
get_graph_neighborhood,swift,U,"neighborhood parity","Add Swift canonical node IDs and neighborhood extraction after call-graph parity lands.","Swift get_call_graph parity","neighborhood parity",8,medium,"extensions and protocols complicate neighborhood semantics"
get_graph_neighborhood,rust,U,"neighborhood parity","Add Rust canonical node IDs and neighborhood extraction after call-graph parity lands; preserve macro exclusions.","Rust get_call_graph parity","neighborhood parity",9,medium,"macro and trait boundaries affect neighborhood correctness"
get_cross_file_dependencies,javascript,P,"dependency-chain parity","Keep the JS graph-backed slice and add confidence metadata, path/focus validation, Mermaid stability, and unsupported-case tests.","JS get_call_graph parity","dependency parity",1,high,"dependency-chain quality depends on upstream graph resolution"
get_cross_file_dependencies,typescript,P,"dependency-chain parity","Extend JS parity with TS alias and type-only import handling plus metadata-limit tests.","TS get_call_graph parity","dependency parity",2,high,"type-only and alias constructs affect chain assembly"
get_cross_file_dependencies,java,U,"dependency-chain parity","Only expand after the Java call-graph slice is stable; then add Java chain assembly, metadata, Mermaid, and unsupported-case tests.","stabilized Java get_call_graph slice","dependency parity",3,high,"without stable canonical IDs, dependency chains will be noisy"
get_cross_file_dependencies,go,U,"dependency-chain parity","Add Go chain assembly after import-aware graph parity lands; validate paths_from, paths_to, and focus behavior.","Go get_call_graph parity","dependency parity",4,high,"dependency chains are downstream of import-aware graph resolution"
get_cross_file_dependencies,kotlin,U,"dependency-chain parity","Add Kotlin chain assembly after graph parity lands; include alias/import fixtures and metadata tests.","Kotlin get_call_graph parity","dependency parity",5,high,"chain quality follows graph/runtime quality"
get_cross_file_dependencies,php,U,"dependency-chain parity","Add PHP chain assembly after graph parity lands with namespace/use handling and conservative dynamic exclusions.","PHP get_call_graph parity","dependency parity",6,high,"namespace resolution must be right before chains are useful"
get_cross_file_dependencies,ruby,U,"dependency-chain parity","Add Ruby chain assembly after graph parity lands with module/class resolution and metaprogramming exclusions.","Ruby get_call_graph parity","dependency parity",7,high,"dynamic behavior makes chain assembly easy to overclaim"
get_cross_file_dependencies,swift,U,"dependency-chain parity","Add Swift chain assembly after graph parity lands with module/type/member resolution.","Swift get_call_graph parity","dependency parity",8,high,"protocol/extension complexity propagates into chains"
get_cross_file_dependencies,rust,U,"dependency-chain parity","Add Rust chain assembly after graph parity lands with module/use/trait-safe rules and macro exclusions.","Rust get_call_graph parity","dependency parity",9,high,"trait and macro handling affects chain determinism"
get_project_map,javascript,P,"module and relationship parity","Keep the local JS module slice and add stronger relationship derivation, graph-backed summaries, metadata tests, and stable Mermaid/report outputs.","JS graph/runtime parity","project map parity",1,medium_high,"language totals are easy; relationships are the real work"
get_project_map,typescript,P,"module and relationship parity","Extend JS parity with TS alias-aware module relationships, symbol summaries, and graph-derived edges.","TS graph/runtime parity","project map parity",2,medium_high,"relationship accuracy depends on TS import normalization"
get_project_map,java,C,"relationship parity beyond counting","Promote Java from language totals only to real module/relationship parity after the Java call-graph slice stabilizes.","stabilized Java get_call_graph slice","project map parity",3,medium_high,"counting files is cheap; relationship derivation is not"
